epoch,best_total_time,best_total_travel_time,best_total_care_time,best_assigned_clients,best_unassigned_clients,day_key,day_name
1,1977.8585469643556,117.85854696435551,1860.0,18,72,tuesday,Tuesday
2,1977.8585469643556,117.85854696435551,1860.0,18,72,tuesday,Tuesday
3,1961.6787476575057,101.67874765750568,1860.0,18,72,tuesday,Tuesday
4,2171.6331369720524,131.63313697205254,2040.0,20,70,tuesday,Tuesday
5,2171.6331369720524,131.63313697205254,2040.0,20,70,tuesday,Tuesday
6,2202.588371801931,132.588371801931,2070.0,21,69,tuesday,Tuesday
7,2168.7862472027937,128.78624720279376,2040.0,21,69,tuesday,Tuesday
8,2265.8764221100937,135.87642211009359,2130.0,22,68,tuesday,Tuesday
9,2265.8764221100937,135.87642211009359,2130.0,22,68,tuesday,Tuesday
10,2321.9700628828177,131.97006288281756,2190.0,22,68,tuesday,Tuesday
11,2261.693412594466,131.69341259446574,2130.0,22,68,tuesday,Tuesday
12,2287.4984554156486,127.4984554156486,2160.0,22,68,tuesday,Tuesday
13,2226.448530208536,126.44853020853579,2100.0,22,68,tuesday,Tuesday
14,2304.348809411167,114.3488094111671,2190.0,22,68,tuesday,Tuesday
15,2304.348809411167,114.3488094111671,2190.0,22,68,tuesday,Tuesday
16,2332.7585986014496,112.7585986014497,2220.0,22,68,tuesday,Tuesday
17,2323.6596321973484,103.65963219734836,2220.0,22,68,tuesday,Tuesday
18,2323.6596321973484,103.65963219734836,2220.0,22,68,tuesday,Tuesday
19,2261.6927437222316,101.69274372223168,2160.0,22,68,tuesday,Tuesday
20,2261.6927437222316,101.69274372223168,2160.0,22,68,tuesday,Tuesday
21,2316.7972508498283,96.7972508498282,2220.0,22,68,tuesday,Tuesday
22,2312.9240092871532,92.92400928715307,2220.0,22,68,tuesday,Tuesday
23,2312.9240092871532,92.92400928715307,2220.0,22,68,tuesday,Tuesday
24,2340.2745955322043,90.27459553220439,2250.0,22,68,tuesday,Tuesday
25,2339.7774750211524,89.77747502115265,2250.0,22,68,tuesday,Tuesday
26,2339.7774750211524,89.77747502115265,2250.0,22,68,tuesday,Tuesday
27,2334.873766125212,84.87376612521226,2250.0,22,68,tuesday,Tuesday
28,2334.873766125212,84.87376612521226,2250.0,22,68,tuesday,Tuesday
29,2334.873766125212,84.87376612521226,2250.0,22,68,tuesday,Tuesday
30,2301.696105918178,81.69610591817802,2220.0,22,68,tuesday,Tuesday
31,2301.696105918178,81.69610591817802,2220.0,22,68,tuesday,Tuesday
32,2301.696105918178,81.69610591817802,2220.0,22,68,tuesday,Tuesday
33,2241.5658222720226,81.56582227202279,2160.0,22,68,tuesday,Tuesday
34,2360.846189929542,80.846189929542,2280.0,22,68,tuesday,Tuesday
35,2311.8068852980628,91.80688529806295,2220.0,23,67,tuesday,Tuesday
36,2308.1945822889234,88.19458228892344,2220.0,23,67,tuesday,Tuesday
37,2308.1945822889234,88.19458228892344,2220.0,23,67,tuesday,Tuesday
38,2275.5317676925633,85.53176769256324,2190.0,23,67,tuesday,Tuesday
39,2300.742419453768,80.74241945376818,2220.0,23,67,tuesday,Tuesday
40,2300.742419453768,80.74241945376818,2220.0,23,67,tuesday,Tuesday
41,2300.742419453768,80.74241945376818,2220.0,23,67,tuesday,Tuesday
42,2266.082275194899,76.08227519489897,2190.0,23,67,tuesday,Tuesday
43,2266.082275194899,76.08227519489897,2190.0,23,67,tuesday,Tuesday
44,2294.796040941092,74.79604094109209,2220.0,23,67,tuesday,Tuesday
45,2294.796040941092,74.79604094109209,2220.0,23,67,tuesday,Tuesday
46,2293.502103627228,73.502103627228,2220.0,23,67,tuesday,Tuesday
47,2293.502103627228,73.502103627228,2220.0,23,67,tuesday,Tuesday
48,2293.502103627228,73.502103627228,2220.0,23,67,tuesday,Tuesday
49,2289.866487003173,69.86648700317312,2220.0,23,67,tuesday,Tuesday
50,2259.0039922666974,69.00399226669762,2190.0,23,67,tuesday,Tuesday
51,2259.0039922666974,69.00399226669762,2190.0,23,67,tuesday,Tuesday
52,2259.0039922666974,69.00399226669762,2190.0,23,67,tuesday,Tuesday
53,2284.052302107523,64.05230210752264,2220.0,23,67,tuesday,Tuesday
54,2284.052302107523,64.05230210752264,2220.0,23,67,tuesday,Tuesday
55,2284.052302107523,64.05230210752264,2220.0,23,67,tuesday,Tuesday
56,2284.052302107523,64.05230210752264,2220.0,23,67,tuesday,Tuesday
57,2283.296365212066,63.29636521206626,2220.0,23,67,tuesday,Tuesday
58,2282.2543385043136,62.254338504313445,2220.0,23,67,tuesday,Tuesday
59,2281.9524035297704,61.952403529770386,2220.0,23,67,tuesday,Tuesday
60,2281.110768471448,61.11076847144798,2220.0,23,67,tuesday,Tuesday
61,2281.110768471448,61.11076847144798,2220.0,23,67,tuesday,Tuesday
62,2281.110768471448,61.11076847144798,2220.0,23,67,tuesday,Tuesday
63,2281.110768471448,61.11076847144798,2220.0,23,67,tuesday,Tuesday
64,2250.342212903585,60.34221290358475,2190.0,23,67,tuesday,Tuesday
65,2250.342212903585,60.34221290358475,2190.0,23,67,tuesday,Tuesday
66,2250.342212903585,60.34221290358475,2190.0,23,67,tuesday,Tuesday
67,2328.1225911993465,138.1225911993464,2190.0,24,66,tuesday,Tuesday
68,2328.1225911993465,138.1225911993464,2190.0,24,66,tuesday,Tuesday
69,2323.9991054949846,133.99910549498475,2190.0,24,66,tuesday,Tuesday
70,2293.8711707323905,133.8711707323905,2160.0,24,66,tuesday,Tuesday
71,2323.499283535974,133.49928353597406,2190.0,24,66,tuesday,Tuesday
72,2322.1254843705224,132.12548437052257,2190.0,24,66,tuesday,Tuesday
73,2287.057418795444,127.05741879544394,2160.0,24,66,tuesday,Tuesday
74,2287.057418795444,127.05741879544394,2160.0,24,66,tuesday,Tuesday
75,2311.3425902737154,121.34259027371553,2190.0,24,66,tuesday,Tuesday
76,2306.3049560135996,116.3049560135996,2190.0,24,66,tuesday,Tuesday
77,2306.3049560135996,116.3049560135996,2190.0,24,66,tuesday,Tuesday
78,2306.3049560135996,116.3049560135996,2190.0,24,66,tuesday,Tuesday
79,2300.125202752103,110.12520275210329,2190.0,24,66,tuesday,Tuesday
80,2300.125202752103,110.12520275210329,2190.0,24,66,tuesday,Tuesday
81,2296.5520223827884,106.5520223827884,2190.0,24,66,tuesday,Tuesday
82,2296.5520223827884,106.5520223827884,2190.0,24,66,tuesday,Tuesday
83,2236.4983182909486,106.49831829094862,2130.0,24,66,tuesday,Tuesday
84,2197.0182258495215,97.01822584952171,2100.0,24,66,tuesday,Tuesday
85,2338.779229544897,118.77922954489729,2220.0,25,65,tuesday,Tuesday
86,2278.756428044713,118.75642804471337,2160.0,25,65,tuesday,Tuesday
87,2278.756428044713,118.75642804471337,2160.0,25,65,tuesday,Tuesday
88,2331.8924743275566,111.89247432755644,2220.0,25,65,tuesday,Tuesday
89,2267.472649210772,107.47264921077213,2160.0,25,65,tuesday,Tuesday
90,2267.472649210772,107.47264921077213,2160.0,25,65,tuesday,Tuesday
91,2267.472649210772,107.47264921077213,2160.0,25,65,tuesday,Tuesday
92,2259.8595414289375,99.85954142893745,2160.0,25,65,tuesday,Tuesday
