population_index,total_time,total_travel_time,total_care_time,assigned_clients,unassigned_clients,day_key,day_name
47,2337.390270545168,87.39027054516777,2250.0,23,68,wednesday,Wednesday
76,2397.474460931083,87.47446093108292,2310.0,23,68,wednesday,Wednesday
94,2517.474520686814,87.47452068681397,2430.0,23,68,wednesday,Wednesday
36,2368.995121168359,88.99512116835913,2280.0,23,68,wednesday,Wednesday
45,2374.005271365074,94.00527136507391,2280.0,23,68,wednesday,Wednesday
38,2436.8131982986442,96.81319829864418,2340.0,23,68,wednesday,Wednesday
35,2406.936331072455,96.93633107245454,2310.0,23,68,wednesday,Wednesday
59,2223.5062179564898,63.506217956489536,2160.0,22,69,wednesday,Wednesday
54,2314.8650800466685,64.86508004666851,2250.0,22,69,wednesday,Wednesday
56,2229.2245764959353,69.22457649593504,2160.0,22,69,wednesday,Wednesday
51,2259.2372423254246,69.23724232542462,2190.0,22,69,wednesday,Wednesday
52,2259.2372423254246,69.23724232542462,2190.0,22,69,wednesday,Wednesday
53,2259.2372423254246,69.23724232542462,2190.0,22,69,wednesday,Wednesday
58,2259.2372423254246,69.23724232542462,2190.0,22,69,wednesday,Wednesday
60,2260.21434685256,70.2143468525598,2190.0,22,69,wednesday,Wednesday
55,2321.6261656070033,71.62616560700312,2250.0,22,69,wednesday,Wednesday
62,2239.053081462347,79.0530814623472,2160.0,22,69,wednesday,Wednesday
90,2244.186149165389,84.18614916538911,2160.0,22,69,wednesday,Wednesday
97,2365.5308291594674,85.53082915946747,2280.0,22,69,wednesday,Wednesday
14,2259.8620955021606,69.86209550216073,2190.0,21,70,wednesday,Wednesday
28,2198.762421742001,98.76242174200088,2100.0,21,70,wednesday,Wednesday
57,2089.7963035659945,79.79630356599462,2010.0,20,71,wednesday,Wednesday
33,2105.2962246490897,95.29622464908988,2010.0,20,71,wednesday,Wednesday
96,2078.450077797872,98.45007779787196,1980.0,20,71,wednesday,Wednesday
95,2110.449822263253,100.44982226325277,2010.0,20,71,wednesday,Wednesday
