population_index,total_time,total_travel_time,total_care_time,assigned_clients,unassigned_clients,day_key,day_name
53,1334.9954473032258,44.995447303225845,1290.0,13,80,thursday,Thursday
54,1334.9954473032258,44.995447303225845,1290.0,13,80,thursday,Thursday
57,1334.9954473032258,44.995447303225845,1290.0,13,80,thursday,Thursday
60,1334.9954473032258,44.995447303225845,1290.0,13,80,thursday,Thursday
21,1336.0129050688768,46.01290506887677,1290.0,13,80,thursday,Thursday
23,1336.0129050688768,46.01290506887677,1290.0,13,80,thursday,Thursday
26,1336.0129050688768,46.01290506887677,1290.0,13,80,thursday,Thursday
27,1336.0129050688768,46.01290506887677,1290.0,13,80,thursday,Thursday
28,1336.0129050688768,46.01290506887677,1290.0,13,80,thursday,Thursday
29,1336.0129050688768,46.01290506887677,1290.0,13,80,thursday,Thursday
81,1396.4893814508423,46.4893814508424,1350.0,13,80,thursday,Thursday
82,1396.4893814508423,46.4893814508424,1350.0,13,80,thursday,Thursday
88,1396.4893814508423,46.4893814508424,1350.0,13,80,thursday,Thursday
89,1396.4893814508423,46.4893814508424,1350.0,13,80,thursday,Thursday
85,1427.1355414622076,47.13554146220746,1380.0,13,80,thursday,Thursday
58,1428.846889690918,48.846889690918076,1380.0,13,80,thursday,Thursday
55,1338.9290396833946,48.92903968339469,1290.0,13,80,thursday,Thursday
90,1429.816995862014,49.81699586201402,1380.0,13,80,thursday,Thursday
25,1430.2051138578813,50.205113857881344,1380.0,13,80,thursday,Thursday
45,1403.930358346853,53.93035834685287,1350.0,13,80,thursday,Thursday
87,1378.0636844355006,58.06368443550059,1320.0,13,80,thursday,Thursday
74,1380.3788684109097,60.37886841090978,1320.0,13,80,thursday,Thursday
73,1441.7839219545997,61.78392195459974,1380.0,13,80,thursday,Thursday
22,1331.578757939701,41.57875793970108,1290.0,12,81,thursday,Thursday
24,1305.5110576606019,45.5110576606019,1260.0,12,81,thursday,Thursday
59,1257.4375991548343,57.43759915483437,1200.0,12,81,thursday,Thursday
93,1384.4158466818662,34.415846681866256,1350.0,11,82,thursday,Thursday
30,1235.9563209915264,35.95632099152641,1200.0,11,82,thursday,Thursday
98,1358.0863010911041,38.086301091104126,1320.0,11,82,thursday,Thursday
99,1300.3680216301766,40.36802163017666,1260.0,11,82,thursday,Thursday
56,1241.9892966259983,41.989296625998364,1200.0,11,82,thursday,Thursday
83,1336.3171633429295,46.317163342929376,1290.0,11,82,thursday,Thursday
84,1307.57044946989,47.57044946989015,1260.0,11,82,thursday,Thursday
41,1253.2754004164346,53.275400416434636,1200.0,11,82,thursday,Thursday
43,1253.2754004164346,53.275400416434636,1200.0,11,82,thursday,Thursday
46,1253.2754004164346,53.275400416434636,1200.0,11,82,thursday,Thursday
47,1253.2754004164346,53.275400416434636,1200.0,11,82,thursday,Thursday
48,1253.2754004164346,53.275400416434636,1200.0,11,82,thursday,Thursday
49,1253.2754004164346,53.275400416434636,1200.0,11,82,thursday,Thursday
50,1253.2754004164346,53.275400416434636,1200.0,11,82,thursday,Thursday
86,1373.889096050016,53.889096050015915,1320.0,11,82,thursday,Thursday
92,1259.5732729228687,59.57327292286862,1200.0,11,82,thursday,Thursday
35,1171.0692935049892,61.06929350498933,1110.0,11,82,thursday,Thursday
7,1208.4706362386223,38.470636238622376,1170.0,10,83,thursday,Thursday
42,1190.9877306911794,50.98773069117947,1140.0,10,83,thursday,Thursday
