epoch,best_total_time,best_total_travel_time,best_total_care_time,best_assigned_clients,best_unassigned_clients,day_key,day_name
36,2482.523509904308,112.52350990430807,2370.0,27,67,friday,Friday
37,2631.0999829446073,111.0999829446071,2520.0,27,67,friday,Friday
38,2631.0999829446073,111.0999829446071,2520.0,27,67,friday,Friday
39,2478.8336451425275,108.8336451425275,2370.0,27,67,friday,Friday
40,2598.45399980013,108.45399980013026,2490.0,27,67,friday,Friday
41,2477.7543855911485,107.75438559114862,2370.0,27,67,friday,Friday
42,2535.721490451957,105.72149045195704,2430.0,27,67,friday,Friday
43,2535.721490451957,105.72149045195704,2430.0,27,67,friday,Friday
44,2534.068562021684,104.06856202168392,2430.0,27,67,friday,Friday
45,2534.068562021684,104.06856202168392,2430.0,27,67,friday,Friday
46,2534.068562021684,104.06856202168392,2430.0,27,67,friday,Friday
47,2530.5424701929423,100.54247019294246,2430.0,27,67,friday,Friday
48,2530.5424701929423,100.54247019294246,2430.0,27,67,friday,Friday
49,2530.5424701929423,100.54247019294246,2430.0,27,67,friday,Friday
50,2588.2021934649506,98.2021934649504,2490.0,27,67,friday,Friday
51,2557.4001344546896,97.40013445468966,2460.0,27,67,friday,Friday
52,2716.9045332200344,106.90453322003421,2610.0,28,66,friday,Friday
53,2716.9045332200344,106.90453322003421,2610.0,28,66,friday,Friday
54,2716.9045332200344,106.90453322003421,2610.0,28,66,friday,Friday
55,2655.686632374209,105.68663237420856,2550.0,28,66,friday,Friday
56,2714.038578530668,104.03857853066806,2610.0,28,66,friday,Friday
57,2714.038578530668,104.03857853066806,2610.0,28,66,friday,Friday
58,2712.7510129115963,102.75101291159629,2610.0,28,66,friday,Friday
59,2712.7510129115963,102.75101291159629,2610.0,28,66,friday,Friday
60,2712.0979751999657,102.09797519996566,2610.0,28,66,friday,Friday
61,2621.6031175523763,101.60311755237609,2520.0,28,66,friday,Friday
62,2621.6031175523763,101.60311755237609,2520.0,28,66,friday,Friday
63,2651.373095624964,101.37309562496435,2550.0,28,66,friday,Friday
64,2615.9760973543935,95.97609735439352,2520.0,28,66,friday,Friday
65,2653.5221794244035,133.5221794244034,2520.0,29,65,friday,Friday
66,2653.5221794244035,133.5221794244034,2520.0,29,65,friday,Friday
67,2653.5221794244035,133.5221794244034,2520.0,29,65,friday,Friday
68,2648.4917235752896,128.49172357528963,2520.0,29,65,friday,Friday
69,2646.4226929145234,126.42269291452332,2520.0,29,65,friday,Friday
70,2664.6427651838067,144.64276518380663,2520.0,30,64,friday,Friday
71,2664.6427651838067,144.64276518380663,2520.0,30,64,friday,Friday
72,2664.6427651838067,144.64276518380663,2520.0,30,64,friday,Friday
73,2690.0159634766483,140.01596347664818,2550.0,30,64,friday,Friday
74,2652.659527524152,132.6595275241519,2520.0,30,64,friday,Friday
75,2652.659527524152,132.6595275241519,2520.0,30,64,friday,Friday
76,2652.659527524152,132.6595275241519,2520.0,30,64,friday,Friday
77,2652.659527524152,132.6595275241519,2520.0,30,64,friday,Friday
78,2650.7500700244395,130.75007002443957,2520.0,30,64,friday,Friday
79,2680.723134186466,130.7231341864659,2550.0,30,64,friday,Friday
80,2739.1256308701354,129.12563087013547,2610.0,30,64,friday,Friday
81,2739.1256308701354,129.12563087013547,2610.0,30,64,friday,Friday
82,2739.1256308701354,129.12563087013547,2610.0,30,64,friday,Friday
83,2795.9324713251895,125.9324713251894,2670.0,30,64,friday,Friday
84,2795.9324713251895,125.9324713251894,2670.0,30,64,friday,Friday
85,2852.508225646505,122.50822564650478,2730.0,30,64,friday,Friday
86,2852.508225646505,122.50822564650478,2730.0,30,64,friday,Friday
87,2880.727130356046,120.72713035604609,2760.0,30,64,friday,Friday
88,2880.727130356046,120.72713035604609,2760.0,30,64,friday,Friday
89,2880.727130356046,120.72713035604609,2760.0,30,64,friday,Friday
90,2850.4342529073206,120.43425290732057,2730.0,30,64,friday,Friday
91,2879.3064757048633,119.30647570486316,2760.0,30,64,friday,Friday
92,2848.426802332795,118.42680233279484,2730.0,30,64,friday,Friday
93,2848.426802332795,118.42680233279484,2730.0,30,64,friday,Friday
94,2874.8001869888426,114.80018698884268,2760.0,30,64,friday,Friday
95,2874.8001869888426,114.80018698884268,2760.0,30,64,friday,Friday
96,2874.8001869888426,114.80018698884268,2760.0,30,64,friday,Friday
97,2874.8001869888426,114.80018698884268,2760.0,30,64,friday,Friday
98,2871.288071465638,111.28807146563783,2760.0,30,64,friday,Friday
99,2871.288071465638,111.28807146563783,2760.0,30,64,friday,Friday
100,2869.3786139659255,109.37861396592547,2760.0,30,64,friday,Friday
