population_index,total_time,total_travel_time,total_care_time,assigned_clients,unassigned_clients,day_key,day_name
78,2583.948151661086,123.94815166108575,2460.0,26,68,friday,Friday
80,2524.2261915390336,124.22619153903379,2400.0,26,68,friday,Friday
56,2585.0217329660168,125.02173296601687,2460.0,26,68,friday,Friday
57,2556.186004233658,126.18600423365802,2430.0,26,68,friday,Friday
94,2526.4348182754215,126.43481827542139,2400.0,26,68,friday,Friday
24,2467.6765769702365,127.67657697023651,2340.0,26,68,friday,Friday
62,2588.7102917916127,128.71029179161272,2460.0,26,68,friday,Friday
92,2499.014811830683,129.01481183068302,2370.0,26,68,friday,Friday
98,2559.0764791135903,129.07647911359018,2430.0,26,68,friday,Friday
70,2589.576317798484,129.57631779848415,2460.0,26,68,friday,Friday
95,2502.324180569465,132.32418056946523,2370.0,26,68,friday,Friday
53,2535.255058519602,135.25505851960202,2400.0,26,68,friday,Friday
36,2472.139474578844,102.13947457884369,2370.0,25,69,friday,Friday
18,2479.7441749100362,109.74417491003622,2370.0,25,69,friday,Friday
82,2584.620426730806,124.62042673080573,2460.0,25,69,friday,Friday
38,2570.5402339045604,110.54023390456057,2460.0,24,70,friday,Friday
63,2431.9352712772547,121.93527127725459,2310.0,24,70,friday,Friday
66,2402.1075936001375,122.10759360013753,2280.0,24,70,friday,Friday
43,2374.069431309663,124.0694313096629,2250.0,24,70,friday,Friday
83,2531.837230577288,131.83723057728827,2400.0,24,70,friday,Friday
86,2484.6447579058035,144.64475790580377,2340.0,24,70,friday,Friday
96,2294.578601231532,104.57860123153203,2190.0,23,71,friday,Friday
59,2236.6468376980115,106.64683769801152,2130.0,23,71,friday,Friday
90,2416.7550384319866,106.75503843198649,2310.0,23,71,friday,Friday
67,2359.4400206686864,109.44002066868649,2250.0,23,71,friday,Friday
68,2423.7062296725057,113.70622967250557,2310.0,23,71,friday,Friday
42,2308.116269801673,118.11626980167281,2190.0,23,71,friday,Friday
41,2249.0904815210943,119.09048152109412,2130.0,23,71,friday,Friday
44,2249.0904815210943,119.09048152109412,2130.0,23,71,friday,Friday
47,2249.0904815210943,119.09048152109412,2130.0,23,71,friday,Friday
48,2249.0904815210943,119.09048152109412,2130.0,23,71,friday,Friday
50,2249.0904815210943,119.09048152109412,2130.0,23,71,friday,Friday
73,2309.688176619885,119.68817661988504,2190.0,23,71,friday,Friday
45,2280.19743069988,120.19743069987975,2160.0,23,71,friday,Friday
46,2341.6851967016632,121.68519670166313,2220.0,23,71,friday,Friday
77,2312.758196817306,122.75819681730574,2190.0,23,71,friday,Friday
97,2229.938374653969,129.93837465396874,2100.0,23,71,friday,Friday
22,2255.9338984169194,95.93389841691948,2160.0,22,72,friday,Friday
69,2223.7209872841813,123.72098728418129,2100.0,22,72,friday,Friday
