population_index,total_time,total_travel_time,total_care_time,assigned_clients,unassigned_clients,day_key,day_name
61,1964.1455623939478,74.14556239394784,1890.0,20,70,tuesday,Tuesday
66,1964.1455623939478,74.14556239394784,1890.0,20,70,tuesday,Tuesday
68,1964.1455623939478,74.14556239394784,1890.0,20,70,tuesday,Tuesday
69,1964.1455623939478,74.14556239394784,1890.0,20,70,tuesday,Tuesday
70,1964.1455623939478,74.14556239394784,1890.0,20,70,tuesday,Tuesday
32,1910.7313012921013,80.73130129210129,1830.0,20,70,tuesday,Tuesday
67,2001.4606212611322,81.46062126113213,1920.0,20,70,tuesday,Tuesday
63,2063.948461562044,83.9484615620439,1980.0,20,70,tuesday,Tuesday
22,1979.7053482175124,89.70534821751245,1890.0,20,70,tuesday,Tuesday
59,2014.4203234209351,94.42032342093513,1920.0,20,70,tuesday,Tuesday
56,1925.8298461451077,95.82984614510782,1830.0,20,70,tuesday,Tuesday
53,1927.621068365006,97.6210683650061,1830.0,20,70,tuesday,Tuesday
14,1927.7087973370012,97.70879733700116,1830.0,20,70,tuesday,Tuesday
51,1928.0888791214463,98.08887912144642,1830.0,20,70,tuesday,Tuesday
55,1928.0888791214463,98.08887912144642,1830.0,20,70,tuesday,Tuesday
60,1928.0888791214463,98.08887912144642,1830.0,20,70,tuesday,Tuesday
57,1989.885642847582,99.88564284758206,1890.0,20,70,tuesday,Tuesday
52,1931.159190858619,101.15919085861908,1830.0,20,70,tuesday,Tuesday
54,1991.5398757706132,101.5398757706131,1890.0,20,70,tuesday,Tuesday
99,2023.8913982544939,103.89139825449395,1920.0,20,70,tuesday,Tuesday
62,2055.987126959399,105.98712695939922,1950.0,20,70,tuesday,Tuesday
37,1936.5074409909193,106.50744099091939,1830.0,20,70,tuesday,Tuesday
82,1984.0516741151296,94.05167411512954,1890.0,19,71,tuesday,Tuesday
20,1832.2912482459092,92.29124824590917,1740.0,18,72,tuesday,Tuesday
65,1911.4419418492096,111.44194184920961,1800.0,18,72,tuesday,Tuesday
47,1734.3543976486962,84.35439764869624,1650.0,17,73,tuesday,Tuesday
79,1679.9436819369985,89.94368193699847,1590.0,16,74,tuesday,Tuesday
