epoch,best_total_time,best_total_travel_time,best_total_care_time,best_assigned_clients,best_unassigned_clients,day_key,day_name
1,2201.9571069160484,131.9571069160482,2070.0,20,66,monday,Monday
2,2201.9571069160484,131.9571069160482,2070.0,20,66,monday,Monday
3,2200.3291676427684,130.32916764276848,2070.0,20,66,monday,Monday
4,2099.014054070594,119.01405407059384,1980.0,20,66,monday,Monday
5,2125.472430060711,115.47243006071082,2010.0,20,66,monday,Monday
6,2125.472430060711,115.47243006071082,2010.0,20,66,monday,Monday
7,2271.5148464363156,141.51484643631537,2130.0,21,65,monday,Monday
8,2359.418642280414,139.4186422804142,2220.0,21,65,monday,Monday
9,2199.9167771718303,129.91677717183052,2070.0,21,65,monday,Monday
10,2150.8428294559567,110.84282945595673,2040.0,21,65,monday,Monday
11,2150.8428294559567,110.84282945595673,2040.0,21,65,monday,Monday
12,2150.8428294559567,110.84282945595673,2040.0,21,65,monday,Monday
13,2282.3825210010873,122.38252100108728,2160.0,22,64,monday,Monday
14,2272.8035677602415,112.8035677602415,2160.0,22,64,monday,Monday
15,2297.290092184942,107.29009218494184,2190.0,22,64,monday,Monday
16,2377.1591763754614,127.15917637546151,2250.0,23,63,monday,Monday
17,2403.9665155552125,123.9665155552125,2280.0,23,63,monday,Monday
18,2403.9665155552125,123.9665155552125,2280.0,23,63,monday,Monday
19,2373.033855196237,123.0338551962366,2250.0,23,63,monday,Monday
20,2308.7703994619173,118.77039946191746,2190.0,23,63,monday,Monday
21,2335.8839612973647,115.8839612973646,2220.0,23,63,monday,Monday
22,2298.7160113295477,108.71601132954768,2190.0,23,63,monday,Monday
23,2298.7160113295477,108.71601132954768,2190.0,23,63,monday,Monday
24,2382.0896132886,132.08961328860008,2250.0,24,62,monday,Monday
25,2382.0896132886,132.08961328860008,2250.0,24,62,monday,Monday
26,2376.7627999324977,126.76279993249781,2250.0,24,62,monday,Monday
27,2373.4347096823244,123.43470968232444,2250.0,24,62,monday,Monday
28,2373.4347096823244,123.43470968232444,2250.0,24,62,monday,Monday
29,2373.4347096823244,123.43470968232444,2250.0,24,62,monday,Monday
30,2326.9748482151235,106.97484821512327,2220.0,24,62,monday,Monday
31,2326.9748482151235,106.97484821512327,2220.0,24,62,monday,Monday
32,2292.527165060149,102.52716506014903,2190.0,24,62,monday,Monday
33,2290.389521255095,100.38952125509523,2190.0,24,62,monday,Monday
34,2290.389521255095,100.38952125509523,2190.0,24,62,monday,Monday
35,2283.996555798577,93.99655579857694,2190.0,24,62,monday,Monday
36,2283.996555798577,93.99655579857694,2190.0,24,62,monday,Monday
37,2312.6448149455905,92.64481494559037,2220.0,24,62,monday,Monday
38,2312.6448149455905,92.64481494559037,2220.0,24,62,monday,Monday
39,2340.1232571958017,90.12325719580137,2250.0,24,62,monday,Monday
40,2368.94457013409,88.94457013408991,2280.0,24,62,monday,Monday
41,2273.193033627034,83.19303362703359,2190.0,24,62,monday,Monday
42,2273.193033627034,83.19303362703359,2190.0,24,62,monday,Monday
43,2362.027616467066,82.02761646706588,2280.0,24,62,monday,Monday
44,2301.4106983234237,81.41069832342349,2220.0,24,62,monday,Monday
45,2237.262966757133,77.26296675713324,2160.0,24,62,monday,Monday
46,2237.262966757133,77.26296675713324,2160.0,24,62,monday,Monday
47,2237.262966757133,77.26296675713324,2160.0,24,62,monday,Monday
48,2233.0631237894395,73.06312378943943,2160.0,24,62,monday,Monday
49,2233.0631237894395,73.06312378943943,2160.0,24,62,monday,Monday
50,2233.0631237894395,73.06312378943943,2160.0,24,62,monday,Monday
51,2231.2735891177194,71.2735891177196,2160.0,24,62,monday,Monday
52,2231.2735891177194,71.2735891177196,2160.0,24,62,monday,Monday
53,2231.2735891177194,71.2735891177196,2160.0,24,62,monday,Monday
54,2290.5563957336217,70.55639573362156,2220.0,24,62,monday,Monday
55,2229.1979547910705,69.19795479107046,2160.0,24,62,monday,Monday
