population_index,total_time,total_travel_time,total_care_time,assigned_clients,unassigned_clients,day_key,day_name
0,2393.9118218041285,53.91182180412844,2340.0,24,62,monday,Monday
1,2393.9118218041285,53.91182180412844,2340.0,24,62,monday,Monday
6,2393.9118218041285,53.91182180412844,2340.0,24,62,monday,Monday
10,2393.9118218041285,53.91182180412844,2340.0,24,62,monday,Monday
11,2393.9118218041285,53.91182180412844,2340.0,24,62,monday,Monday
19,2394.554149203424,54.554149203423854,2340.0,24,62,monday,Monday
71,2365.995414965336,55.99541496533576,2310.0,24,62,monday,Monday
73,2365.995414965336,55.99541496533576,2310.0,24,62,monday,Monday
77,2365.995414965336,55.99541496533576,2310.0,24,62,monday,Monday
3,2396.4343303405226,56.4343303405227,2340.0,24,62,monday,Monday
13,2396.5231881367126,56.52318813671263,2340.0,24,62,monday,Monday
80,2396.8186156813554,56.818615681355226,2340.0,24,62,monday,Monday
14,2368.449646494729,58.44964649472932,2310.0,24,62,monday,Monday
81,2401.4051485831797,61.40514858317969,2340.0,24,62,monday,Monday
83,2401.4051485831797,61.40514858317969,2340.0,24,62,monday,Monday
84,2401.4051485831797,61.40514858317969,2340.0,24,62,monday,Monday
87,2401.4051485831797,61.40514858317969,2340.0,24,62,monday,Monday
88,2401.4051485831797,61.40514858317969,2340.0,24,62,monday,Monday
90,2401.4051485831797,61.40514858317969,2340.0,24,62,monday,Monday
15,2401.7398337890904,61.7398337890902,2340.0,24,62,monday,Monday
5,2377.5533221821843,67.55332218218415,2310.0,24,62,monday,Monday
2,2416.489347528187,76.48934752818704,2340.0,24,62,monday,Monday
82,2328.5171354779422,78.51713547794202,2250.0,24,62,monday,Monday
72,2401.3410057374213,91.34100573742101,2310.0,24,62,monday,Monday
85,2275.858746987027,55.85874698702735,2220.0,23,63,monday,Monday
39,2338.391662025801,88.39166202580084,2250.0,23,63,monday,Monday
79,2119.0808856590374,49.08088565903756,2070.0,22,64,monday,Monday
37,2057.251505482373,47.25150548237303,2010.0,21,65,monday,Monday
23,2058.7153568940935,48.71535689409327,2010.0,21,65,monday,Monday
76,2060.329373313276,50.32937331327588,2010.0,21,65,monday,Monday
78,2061.370382114817,51.3703821148168,2010.0,21,65,monday,Monday
8,2124.0920761079324,54.09207610793236,2070.0,21,65,monday,Monday
36,2156.1846761877373,56.18467618773712,2100.0,21,65,monday,Monday
31,2126.197079680389,56.197079680388775,2070.0,21,65,monday,Monday
86,2067.2884953763564,57.288495376356494,2010.0,21,65,monday,Monday
40,2127.864427107244,57.86442710724398,2070.0,21,65,monday,Monday
18,2072.216216232285,62.21621623228542,2010.0,21,65,monday,Monday
17,2103.352893913716,63.35289391371596,2040.0,21,65,monday,Monday
91,2075.2564983261414,65.2564983261412,2010.0,21,65,monday,Monday
